system,mapping_type,original_name,generic_id
ATS,object,AutoCmdManager,3201
ATS,object,AutoCmdManagerMediary,4241
ATS,object,AutoCmdManagerPort,3281
ATS,object,AutoCmdManagerSkeleton,3200
ATS,object,AutoCol,1888
ATS,object,AutoCommand,1281
ATS,object,AutoCommandBase,1280
ATS,object,AutoCouplePartnerCol,4532
ATS,object,AutoDownloadTarget,4213
ATS,object,AutoDownloadVobcTarget,4577
ATS,object,AutoDownloadZoneTarget,4214
ATS,object,AutoGSZCmd,11
ATS,object,AutoGSZListCtrl,1275
ATS,object,AutoRelease,2397
ATS,object,AutoSchedAssignment,3204
ATS,object,AutoSchedAssignmentMediary,4242
ATS,object,AutoSchedAssignmentPort,3282
ATS,object,AutoSchedAssignmentSkeleton,3203
ATS,object,AutoUncouplingMonitor,4544
ATS,object,AutoUncouplingMonitorMediary,4545
ATS,object,AutoUncouplingMonitorPort,4546
ATS,object,AutoUncouplingMonitorSkeleton,4543
ATS,object,AxleInfo,1029
ATS,object,AzLM_ATCEncDec_ZC_ATS,4566
ATS,object,BRGD0Col,958
ATS,object,BRGD1Col,959
ATS,object,BackgroundPendingCommand,799
ATS,object,Bar,3103
ATS,object,BarringStatusCol,1188
ATS,object,BaseCol,2811
ATS,object,BasicRouteCancelCmdConfirmPage,4560
ATS,object,BasicRouteCancelPage,1008
ATS,object,BasicRouteCmd,12
ATS,object,BasicRouteListCtrl,1020
ATS,object,BasicRouteSetPage,1012
ATS,object,BasicRouteVerifyPage,1013
ATS,object,Baz,3104
ATS,object,BenchMarkManager,2358
ATS,object,BiDirArea,3317
ATS,object,BiDirAreaMediary,4601
ATS,object,BiDirAreaMgr,4614
ATS,object,BiDirAreaPort,4600
ATS,object,BiDirAreaSkeleton,4612
ATS,object,BiDirConflict,3331
ATS,object,BiDirConflictMgr,3332
ATS,object,BirdsEyeSelectionController,2952
ATS,object,BirdsEyeView,2951
ATS,object,BirdsEyeWindow,2907
ATS,object,BitSet,363
ATS,object,Block,1296
ATS,object,BlockAdapter,4727
ATS,object,BlockCmd,13
ATS,object,BlockCol,1079
ATS,object,BlockListCtrl,1283
ATS,object,BlockListCtrlEx,894
ATS,object,BlockMediary,4263
ATS,object,BlockPort,3607
ATS,object,BlockReset,1294
ATS,object,BlockResetDlg,1293
ATS,object,BlockSkeleton,3394
ATS,object,BlockStatusCol,1335
ATS,object,BlockableObject,3656
ATS,object,BlockingArea,2635
ATS,object,BlockingAreaManager,3210
ATS,object,BlockingAreaMediary,4243
ATS,object,BlockingAreaPort,3283
ATS,object,BlockingAreaSkeleton,3205
ATS,object,BlockingAreaTextConverterType,2639
ATS,object,BlockingAreaUtility,1313
ATS,object,BlockingCol,1077
ATS,object,BlockingInfo,2677
ATS,object,BlockingInfoBase,2676
ATS,object,BlockingListCtrl,1300
ATS,object,BlockingRestriction,3658
ATS,object,BlockingRestrictionMediary,4298
ATS,object,BlockingRestrictionPort,3886
ATS,object,BlockingRestrictionSkeleton,3657
ATS,object,BlockingStateCol,1078
ATS,object,BlocksCol,1021
ATS,object,BoolTypeDef,2500
ATS,object,BoostNetworkAddress,5292
ATS,object,BrakeRateCol,969
ATS,object,BrakeRateListCtrl,1226
ATS,object,BufferStop,3416
ATS,object,BufferStopMediary,4264
ATS,object,BufferStopPort,3606
ATS,object,BufferStopSkeleton,3415
ATS,object,BypassCol,938
ATS,object,BypassDestination,2798
ATS,object,BypassDestinationPreview,2901
ATS,object,BypassLinePage,1227
ATS,object,BypassListCol,2873
ATS,object,BypassTrainPage,1229
ATS,object,CANetworkStatus,2458
ATS,object,CAZone,1538
ATS,object,CAZoneMediary,4265
ATS,object,CAZonePort,3608
ATS,object,CAZoneSkeleton,3419
ATS,object,CBTCTrainRegulation,2241
ATS,object,CCOT::Line,1927
ATS,object,CCOT::Message,1928
ATS,object,CCOTCmdCtrl,1930
ATS,object,CCOTConverter,1926
ATS,object,CCOTMsgCtrl,1929
ATS,object,CCOTWnd,1931
ATS,object,CCaptionButton,1360
ATS,object,CCreateGuiWnd,2796
ATS,object,CDynLinkLibrary,840
ATS,object,CGuiApp,1037
ATS,object,COVelocityCol,966
ATS,object,CRun,2932
ATS,object,CSystem,2946
ATS,object,CTimeTable,2945
ATS,object,CacheChange,2471
ATS,object,CancelACBPrepResetCmd,5235
ATS,object,CancelLaunchCol,4418
ATS,object,CancelMDZZoneCmd,4996
ATS,object,CancelOpenCloseTrackSecureCmd,4997
ATS,object,CancelProgressCol,4559
ATS,object,CancelRouting,4888
ATS,object,CancelRun,2828
ATS,object,CancelRunDlg,2827
ATS,object,CancelSetClearBlockingCmd,4998
ATS,object,CancelTSRZoneCmd,4999
ATS,object,CannedDiversion,3662
ATS,object,CannedDiversionMediary,4346
ATS,object,CannedDiversionMgr,4006
ATS,object,CannedDiversionMgrMediary,4345
ATS,object,CannedDiversionMgrPort,4007
ATS,object,CannedDiversionMgrSkeleton,4005
ATS,object,CannedDiversionPort,3885
ATS,object,CannedDiversionRule,4002
ATS,object,CannedDiversionRuleMediary,4347
ATS,object,CannedDiversionRulePort,4008
ATS,object,CannedDiversionRuleSkeleton,4001
ATS,object,CannedDiversionSkeleton,3661
ATS,object,CarIdList,573
ATS,object,CarIdListBase,572
ATS,object,CarIdUtil,583
ATS,object,CategoryCol,857
ATS,object,CategoryText,875
ATS,object,CazEnable,1537
ATS,object,CazEnableCmd,14
ATS,object,CazEnableDlg,1536
ATS,object,CazListCtrl,1354
ATS,object,CentralEmergencyStopButton,2009
ATS,object,CentralEmergencyStopButtonMediary,4266
ATS,object,CentralEmergencyStopButtonPort,3609
ATS,object,CentralEmergencyStopButtonSkeleton,3418
ATS,object,ChainageCol,1179
ATS,object,ChainagePath,1239
ATS,object,ChangeDirection,1024
ATS,object,ChangeDirectionCmd,15
ATS,object,ChangeDirectionDlg,1025
ATS,object,ChangeRoutingMode,2826
ATS,object,ChangeRoutingModeCmd,16
ATS,object,ChangeVTDVCC,1932
ATS,object,ChildProcess,3131
ATS,object,ClassCrewRosterListCtrl,2833
ATS,object,ClearAhead,1310
ATS,object,ClearAheadDlg,1309
ATS,object,ClearAutoGSZ,1298
ATS,object,ClearAutoGSZCmd,17
ATS,object,ClearAutoGSZDlg,1299
ATS,object,ClearBlocking,1311
ATS,object,ClearBlockingCmd,18
ATS,object,ClearBlockingDlg,1312
ATS,object,ClearMDZProgressCol,1087
ATS,object,ClearSchedule,2937
ATS,object,ClearScheduleCmd,19
ATS,object,ClearTSRProgressCol,1085
ATS,object,CloseCurrentWindow,2702
ATS,object,CloseProgressCol,1082
ATS,object,Cloud,4951
ATS,object,ClusterMessage,4453
ATS,object,ClusterMonitor,4455
ATS,object,ClusterMonitorMediary,4462
ATS,object,ClusterMonitorPort,4461
ATS,object,ClusterMonitorSkeleton,4454
ATS,object,ClusterMonitorStatusColumn,4443
ATS,object,ClusterMonitorSupplement,4447
ATS,object,CmdIdCol,1844
ATS,object,CnxnId,350
ATS,object,CnxnIdManager,2363
ATS,object,Col,1457
ATS,object,Colour,2343
ATS,object,ColourInfo,895
ATS,object,ColourMap,896
ATS,object,ColourTreeCtrl,1833
ATS,object,ColourTypeState,1832
ATS,object,CombinedTypeSubject,5137
ATS,object,CombinedTypeSubjectFactory,5138
ATS,object,Command,663
ATS,object,CommandAllCurrent,796
ATS,object,CommandCol,1362
ATS,object,CommandCompletion,2332
ATS,object,CommandHandler,3172
ATS,object,CommandHandlerMediary,4245
